,,,
Ergebnistabelle,,,
"Europawahl 2024, BerlinAmtliches Endergebnis, 04.07.2024, 09:31:00",,,
,,,
Partei,Anzahl,Anteil,Gewinn und Verlust in %-Punkten
GRÜNE,302225,"19,6 %","-8,3"
CDU,271716,"17,6 %","2,4"
SPD,204568,"13,2 %","-0,8"
DIE LINKE,112825,"7,3 %","-4,6"
AfD,179303,"11,6 %","1,7"
Die PARTEI,51804,"3,4 %","-1,5"
FDP,67107,"4,3 %","-0,4"
Tierschutzpartei,32035,"2,1 %","0,1"
MERA25,21631,"1,4 %","0,2"
Volt,74273,"4,8 %","3,6"
PIRATEN,8039,"0,5 %","-0,3"
FAMILIE,7335,"0,5 %","-0,2"
ÖDP,582,"0,4 %","-0,2"
FREIE WÄHLER,7897,"0,5 %","-0,0"
TIERSCHUTZ hier!,8209,"0,5 %","0,2"
BIG,1951,"0,1 %","-0,2"
Verjüngungsforschung,1028,"0,1 %","-0,2"
PdH,3686,"0,2 %","0,0"
HEIMAT,1138,"0,1 %","-0,1"
DKP,1427,"0,1 %","-0,1"
MENSCHLICHE WELT,2222,"0,1 %","0,0"
Bündnis C,1209,"0,1 %","-0,0"
MLPD,690,"0,0 %","-0,0"
SGP,446,"0,0 %","0,0"
ABG,808,"0,1 %","0,1"
dieBasis,2894,"0,2 %","0,2"
BÜNDNIS DEUTSCHLAND,5232,"0,3 %","0,3"
BSW,134113,"8,7 %","8,7"
DAVA,9095,"0,6 %","0,6"
KLIMALISTE,2653,"0,2 %","0,2"
LETZTE GENERATION,10005,"0,6 %","0,6"
PDV,1056,"0,1 %","0,1"
PdF,8491,"0,5 %","0,5"
V-Partei,2198,"0,1 %","0,1"
Ungültige Stimmen,8303,"0,5 %","-0,3"
Gültige Stimmen,1545129,"99,5 %","0,3"
